1780684924.430684 server started (58951): version 3.6b, socket /private/tmp/tmux-501/runie-test, protocol 8
1780684924.430710 on Darwin 25.5.0 Darwin Kernel Version 25.5.0: Mon Apr 27 20:41:26 PDT 2026; root:xnu-12377.121.6~2/RELEASE_ARM64_T8132
1780684924.430716 using libevent 2.1.12-stable select
1780684924.430725 using utf8proc 2.11.3
1780684924.430731 using ncurses 6.6 20251230
1780684924.430827 input_key_build: 0x10e003 (PasteStart) is \033[200~
1780684924.430834 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1780684924.430850 input_key_build: 0x10e25b (F1) is \033OP
1780684924.430856 input_key_build: 0x10e25c (F2) is \033OQ
1780684924.430861 input_key_build: 0x10e25d (F3) is \033OR
1780684924.430866 input_key_build: 0x10e25e (F4) is \033OS
1780684924.430871 input_key_build: 0x10e25f (F5) is \033[15~
1780684924.430877 input_key_build: 0x10e260 (F6) is \033[17~
1780684924.430881 input_key_build: 0x10e261 (F7) is \033[18~
1780684924.430886 input_key_build: 0x10e262 (F8) is \033[19~
1780684924.430895 input_key_build: 0x10e263 (F9) is \033[20~
1780684924.430901 input_key_build: 0x10e264 (F10) is \033[21~
1780684924.430908 input_key_build: 0x10e265 (F11) is \033[23~
1780684924.430914 input_key_build: 0x10e266 (F12) is \033[24~
1780684924.430919 input_key_build: 0x10e267 (IC) is \033[2~
1780684924.430924 input_key_build: 0x10e268 (DC) is \033[3~
1780684924.430929 input_key_build: 0x10e269 (Home) is \033[1~
1780684924.430934 input_key_build: 0x10e26a (End) is \033[4~
1780684924.430939 input_key_build: 0x10e26b (NPage) is \033[6~
1780684924.430944 input_key_build: 0x10e26c (PPage) is \033[5~
1780684924.430949 input_key_build: 0x10e26d (BTab) is \033[Z
1780684924.430954 input_key_build: 0x10e26e (Up) is \033[A
1780684924.430959 input_key_build: 0x10e26f (Down) is \033[B
1780684924.430964 input_key_build: 0x10e270 (Left) is \033[D
1780684924.430969 input_key_build: 0x10e271 (Right) is \033[C
1780684924.430975 input_key_build: 0x10e272 (KP/) is /
1780684924.430980 input_key_build: 0x10e273 (KP*) is *
1780684924.430985 input_key_build: 0x10e274 (KP-) is -
1780684924.430990 input_key_build: 0x10e275 (KP7) is 7
1780684924.430994 input_key_build: 0x10e276 (KP8) is 8
1780684924.430999 input_key_build: 0x10e277 (KP9) is 9
1780684924.431004 input_key_build: 0x10e278 (KP+) is +
1780684924.431009 input_key_build: 0x10e279 (KP4) is 4
1780684924.431014 input_key_build: 0x10e27a (KP5) is 5
1780684924.431019 input_key_build: 0x10e27b (KP6) is 6
1780684924.431024 input_key_build: 0x10e27c (KP1) is 1
1780684924.431029 input_key_build: 0x10e27d (KP2) is 2
1780684924.431034 input_key_build: 0x10e27e (KP3) is 3
1780684924.431039 input_key_build: 0x10e27f (KPEnter) is \n
1780684924.431047 input_key_build: 0x10e280 (KP0) is 0
1780684924.431053 input_key_build: 0x10e281 (KP.) is .
1780684924.431059 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1780684924.431065 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1780684924.431070 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1780684924.431076 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1780684924.431081 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1780684924.431086 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1780684924.431091 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1780684924.431098 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1780684924.431104 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1780684924.431109 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1780684924.431114 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1780684924.431119 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1780684924.431124 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
